#  Table F814W_filter.tab  Thu 14:45:22 08-May-2014
#     WAVELENGTH      THROUGHPUT
#         angstroms                
     8310.482       0.1309638
     8311.906       0.1309292
      8313.33       0.1309191
     8314.749       0.1309177
     8316.174       0.1309162
     8317.594       0.1309146
     8319.019       0.1309129
     8320.443       0.1309056
     8321.868       0.1308863
     8323.289       0.1308741
     8324.711       0.1308648
     8326.137       0.1308554
     8327.563       0.1308458
     8328.989       0.1308361
     8330.411       0.1308263
     8331.843       0.1308163
     8333.266       0.1308138
     8334.688       0.1308146
     8336.116       0.1308152
      8337.54       0.1308157
     8338.968       0.1308162
     8340.392       0.1308211
     8341.825       0.1308386
     8343.249       0.1308482
     8344.674       0.1308542
     8346.107         0.13086
     8347.533       0.1308657
     8348.963       0.1308712
     8350.389       0.1308719
     8351.818       0.1308598
     8353.249       0.1308415
     8354.676       0.1308199
     8356.106       0.1307983
     8357.533       0.1307766
     8358.965       0.1307546
     8360.397       0.1307326
     8361.829       0.1307104
     8363.257       0.1306919
     8364.685       0.1306751
     8366.118       0.1306581
     8367.551        0.130641
     8368.984       0.1306237
     8370.413       0.1306064
     8371.847       0.1305888
     8373.276       0.1305726
     8374.711       0.1305569
     8376.146        0.130541
     8377.575       0.1305251
     8379.011       0.1305089
     8380.441       0.1304981
     8381.877       0.1304992
     8383.312       0.1304878
     8384.744        0.130471
     8386.181       0.1304542
     8387.612       0.1304372
     8389.049       0.1304201
     8390.486        0.130397
     8391.923       0.1303622
     8393.356       0.1303213
     8394.789       0.1302781
     8396.228       0.1302347
     8397.666       0.1301912
     8399.104       0.1301476
     8400.538       0.1301091
     8401.978       0.1300787
     8403.412       0.1300206
     8404.852       0.1299539
     8406.291       0.1298871
     8407.727       0.1298206
     8409.171       0.1297535
     8410.603       0.1296943
     8412.048       0.1296446
     8413.484       0.1296023
     8414.921       0.1295613
     8416.362       0.1295203
     8417.799       0.1294793
     8419.246       0.1294379
     8420.684       0.1293884
     8422.126       0.1293297
     8423.568       0.1292445
     8425.007       0.1291555
      8426.45       0.1290663
     8427.889       0.1289773
     8429.332       0.1288881
     8430.776        0.128808
     8432.221       0.1287358
      8433.66       0.1286511
       8435.1       0.1285653
     8436.545       0.1284793
      8437.99       0.1283932
     8439.436       0.1283071
     8440.877       0.1282213
     8442.322       0.1281351
     8443.764       0.1280212
      8445.21       0.1279069
     8446.657       0.1277926
       8448.1       0.1276787
     8449.546       0.1275645
     8450.989       0.1274624
     8452.437       0.1273668
     8453.885       0.1272866
     8455.333       0.1272064
     8456.776       0.1271265
     8458.221       0.1270465
     8459.669       0.1269661
     8461.118       0.1268725
     8462.567       0.1267745
     8464.013        0.126675
     8465.467       0.1265748
